"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.34","848","203492","3109","48354",NA,"Fusobacterium","genus",NA
"ubiome_bacteriacounts.35","203492","203491","3109","48354",NA,"Fusobacteriaceae","family",NA
"ubiome_bacteriacounts.36","860","848","2816","43797",NA,"Fusobacterium periodonticum","species",NA
"ubiome_bacteriacounts.37","29465","31977","2258","35118",NA,"Veillonella","genus",NA
"ubiome_bacteriacounts.38","1129771","203491","2106","32754",NA,"Leptotrichiaceae","family",NA
"ubiome_bacteriacounts.39","32067","1129771","2106","32754",NA,"Leptotrichia","genus",NA
"ubiome_bacteriacounts.40","28216","1224","2093","32552",NA,"Betaproteobacteria","class",NA
"ubiome_bacteriacounts.41","135095","29465","2073","32241",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.42","324843","135095","2073","32241",NA,"Veillonella sp. oral clone VeillD5","species",NA
"ubiome_bacteriacounts.43","206351","28216","2063","32085",NA,"Neisseriales","order",NA
"ubiome_bacteriacounts.44","481","206351","2063","32085",NA,"Neisseriaceae","family",NA
"ubiome_bacteriacounts.45","482","481","2016","31354",NA,"Neisseria","genus",NA
"ubiome_bacteriacounts.46","484","482","1778","27653",NA,"Neisseria flavescens","species",NA
"ubiome_bacteriacounts.47","85006","2037","1696","26378",NA,"Micrococcineae","suborder",NA
"ubiome_bacteriacounts.48","85005","2037","1695","26362",NA,"Actinomycineae","suborder",NA
"ubiome_bacteriacounts.49","2049","85005","1695","26362",NA,"Actinomycetaceae","family",NA
"ubiome_bacteriacounts.50","32207","1268","1693","26331",NA,"Rothia","genus",NA
"ubiome_bacteriacounts.51","1268","85006","1693","26331",NA,"Micrococcaceae","family",NA
"ubiome_bacteriacounts.52","1654","2049","1559","24247",NA,"Actinomyces","genus",NA
"ubiome_bacteriacounts.53","186828","186826","1512","23516",NA,"Carnobacteriaceae","family",NA
"ubiome_bacteriacounts.54","117563","186828","1512","23516",NA,"Granulicatella","genus",NA
"ubiome_bacteriacounts.55","28135","838","1434","22303",NA,"Prevotella oris","species",NA
"ubiome_bacteriacounts.56","49546","200644","1412","21961",NA,"Flavobacteriaceae","family",NA
"ubiome_bacteriacounts.57","200644","117743","1412","21961",NA,"Flavobacteriales","order",NA
"ubiome_bacteriacounts.58","117743","976","1412","21961",NA,"Flavobacteriia","class",NA
"ubiome_bacteriacounts.59","135058","32067","1197","18617",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.60","544580","1654","1178","18321",NA,"Actinomyces oris","species",NA
"ubiome_bacteriacounts.61","186802","186801","1105","17186",NA,"Clostridiales","order",NA
"ubiome_bacteriacounts.62","186801","1239","1105","17186",NA,"Clostridia","class",NA
"ubiome_bacteriacounts.63","257758","1301","1077","16750",NA,"Streptococcus pseudopneumoniae","species",NA
"ubiome_bacteriacounts.64","1016","49546","1064","16548",NA,"Capnocytophaga","genus",NA
"ubiome_bacteriacounts.65","28133","838","1024","15926",NA,"Prevotella nigrescens","species",NA
"ubiome_bacteriacounts.66","171551","171549","1010","15708",NA,"Porphyromonadaceae","family",NA
"ubiome_bacteriacounts.67","28132","838","1003","15599",NA,"Prevotella melaninogenica","species",NA
"ubiome_bacteriacounts.68","836","171551","971","15102",NA,"Porphyromonas","genus",NA
"ubiome_bacteriacounts.69","134245","836","946","14713",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.70","163563","134245","935","14542",NA,"Porphyromonas sp. oral clone BS045","species",NA
"ubiome_bacteriacounts.71","2047","32207","813","12644",NA,"Rothia dentocariosa","species",NA
"ubiome_bacteriacounts.72","40542","32067","809","12582",NA,"Leptotrichia buccalis","species",NA
"ubiome_bacteriacounts.73","163581","135058","791","12302",NA,"Leptotrichia sp. oral clone DR011","species",NA
"ubiome_bacteriacounts.74","815","171549","687","10685",NA,"Bacteroidaceae","family",NA
"ubiome_bacteriacounts.75","45305","57016","618","9612",NA,"unidentified eubacterium clone 3.42","species",NA
"ubiome_bacteriacounts.76","57016","815","618","9612",NA,"environmental samples","no_rank",NA
