"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.35","161879","1716","145","6379",NA,"Corynebacterium kroppenstedtii","species",NA
"ubiome_bacteriacounts.36","54007","165779","115","5059",NA,"Anaerococcus octavius","species",NA
"ubiome_bacteriacounts.37","117743","976","112","4927",NA,"Flavobacteriia","class",NA
"ubiome_bacteriacounts.38","200644","117743","112","4927",NA,"Flavobacteriales","order",NA
"ubiome_bacteriacounts.39","49546","200644","112","4927",NA,"Flavobacteriaceae","family",NA
"ubiome_bacteriacounts.40","395087","237","109","4795",NA,"Flavobacterium ceti","species",NA
"ubiome_bacteriacounts.41","237","49546","109","4795",NA,"Flavobacterium","genus",NA
"ubiome_bacteriacounts.42","1236","1224","79","3475",NA,"Gammaproteobacteria","class",NA
"ubiome_bacteriacounts.43","72274","1236","68","2991",NA,"Pseudomonadales","order",NA
"ubiome_bacteriacounts.44","135621","72274","68","2991",NA,"Pseudomonadaceae","family",NA
"ubiome_bacteriacounts.45","286","135621","68","2991",NA,"Pseudomonas","genus",NA
"ubiome_bacteriacounts.46","1048429","286","68","2991",NA,"Pseudomonas sp. CB113","species",NA
"ubiome_bacteriacounts.47","938291","165779","65","2859",NA,"Anaerococcus sp. 8405254","species",NA
"ubiome_bacteriacounts.48","150022","543310","64","2815",NA,"Finegoldia","genus",NA
"ubiome_bacteriacounts.49","1260","150022","61","2683",NA,"Finegoldia magna","species",NA
"ubiome_bacteriacounts.50","28211","1224","59","2595",NA,"Alphaproteobacteria","class",NA
"ubiome_bacteriacounts.51","186826","91061","53","2332",NA,"Lactobacillales","order",NA
"ubiome_bacteriacounts.52","930451","41275","52","2288",NA,"Brevundimonas sp. CmLB14","species",NA
"ubiome_bacteriacounts.53","41275","76892","52","2288",NA,"Brevundimonas","genus",NA
"ubiome_bacteriacounts.54","76892","204458","52","2288",NA,"Caulobacteraceae","family",NA
"ubiome_bacteriacounts.55","204458","28211","52","2288",NA,"Caulobacterales","order",NA
"ubiome_bacteriacounts.56","186827","186826","45","1980",NA,"Aerococcaceae","family",NA
"ubiome_bacteriacounts.57","66831","186827","42","1848",NA,"Facklamia","genus",NA
"ubiome_bacteriacounts.58","85019","85006","38","1672",NA,"Brevibacteriaceae","family",NA
"ubiome_bacteriacounts.59","1696","85019","38","1672",NA,"Brevibacterium","genus",NA
"ubiome_bacteriacounts.60","938293","165779","35","1540",NA,"Anaerococcus sp. 9402080","species",NA
"ubiome_bacteriacounts.61","200643","976","33","1452",NA,"Bacteroidia","class",NA
